

2025-08-23 18:16:53 | INFO | main | ✅ Database connection established
2025-08-23 18:16:53 | INFO | main | 🔧 Testing services...
2025-08-23 18:16:53 | WARNING | main | ⚠️ YOLO service issues
2025-08-23 18:16:54 | INFO | main | ✅ Groq AI service ready
2025-08-23 18:16:54 | INFO | risk_engine | Starting risk aggregation for report 1
2025-08-23 18:16:55 | INFO | groq_service | Groq client initialized successfully
2025-08-23 18:16:55 | WARNING | risk_engine | Groq procedure generation failed, using fallback template
2025-08-23 18:16:55 | INFO | risk_engine | Risk aggregation completed: LOW risk (score: 0.444)
2025-08-23 18:16:55 | INFO | main | ✅ Risk Engine ready
2025-08-23 18:16:55 | INFO | main | 🎯 CAKEP.id EWS AI Module startup completed!
2025-08-23 18:17:31 | INFO | pipeline_service | Running YOLO detection on temp_uploads\20250823_181731_pipa korosi.JPG
2025-08-23 18:17:31 | WARNING | yolo_service | YOLO model not available, returning mock detection
2025-08-23 18:17:32 | INFO | groq_service | NLP analysis completed: category=corrosion, confidence=1.00
2025-08-23 18:21:33 | INFO | main | 🛑 Shutting down CAKEP.id EWS AI Module...
2025-08-23 18:21:33 | INFO | main | ℹ️ Database service cleanup not required
2025-08-23 18:21:33 | INFO | main | 👋 CAKEP.id EWS AI Module shutdown completed!


2025-08-23 18:22:45 | INFO | main | ✅ Database connection established
2025-08-23 18:22:45 | INFO | main | 🔧 Testing services...
2025-08-23 18:22:45 | WARNING | main | ⚠️ YOLO service issues
2025-08-23 18:22:49 | INFO | main | ✅ Groq AI service ready
2025-08-23 18:22:49 | INFO | risk_engine | Starting risk aggregation for report 1
2025-08-23 18:22:49 | INFO | groq_service | Groq client initialized successfully
2025-08-23 18:22:49 | WARNING | risk_engine | Groq procedure generation failed, using fallback template
2025-08-23 18:22:49 | INFO | risk_engine | Risk aggregation completed: LOW risk (score: 0.444)
2025-08-23 18:22:49 | INFO | main | ✅ Risk Engine ready
2025-08-23 18:22:49 | INFO | main | 🎯 CAKEP.id EWS AI Module startup completed!
2025-08-23 18:23:08 | INFO | main | 🛑 Shutting down CAKEP.id EWS AI Module...
2025-08-23 18:23:08 | INFO | main | ℹ️ Database service cleanup not required
2025-08-23 18:23:08 | INFO | main | 👋 CAKEP.id EWS AI Module shutdown completed!
2025-08-23 18:23:37 | INFO | main | ✅ Database connection established
2025-08-23 18:23:37 | INFO | main | 🔧 Testing services...
2025-08-23 18:23:37 | WARNING | main | ⚠️ YOLO service issues
2025-08-23 18:23:38 | INFO | main | ✅ Groq AI service ready
2025-08-23 18:23:38 | INFO | risk_engine | Starting risk aggregation for report 1
2025-08-23 18:23:38 | INFO | groq_service | Groq client initialized successfully
2025-08-23 18:23:38 | WARNING | risk_engine | Groq procedure generation failed, using fallback template
2025-08-23 18:23:38 | INFO | risk_engine | Risk aggregation completed: LOW risk (score: 0.444)
2025-08-23 18:23:38 | INFO | main | ✅ Risk Engine ready
2025-08-23 18:23:38 | INFO | main | 🎯 CAKEP.id EWS AI Module startup completed!
2025-08-23 18:25:27 | INFO | risk_engine | Starting risk aggregation for report 0.5
2025-08-23 18:25:27 | ERROR | risk_engine | Risk aggregation failed: 'float' object has no attribute 'get'
2025-08-23 18:28:14 | INFO | main | 🛑 Shutting down CAKEP.id EWS AI Module...
2025-08-23 18:28:14 | INFO | main | ℹ️ Database service cleanup not required
2025-08-23 18:28:14 | INFO | main | 👋 CAKEP.id EWS AI Module shutdown completed!
2025-08-23 18:28:39 | INFO | main | ✅ Database connection established
2025-08-23 18:28:39 | INFO | main | 🔧 Testing services...
2025-08-23 18:28:39 | WARNING | main | ⚠️ YOLO service issues
2025-08-23 18:28:40 | INFO | main | ✅ Groq AI service ready
2025-08-23 18:28:40 | INFO | risk_engine | Starting risk aggregation for report 1
2025-08-23 18:28:41 | INFO | groq_service | Groq client initialized successfully
2025-08-23 18:28:41 | WARNING | risk_engine | Groq procedure generation failed, using fallback template
2025-08-23 18:28:41 | INFO | risk_engine | Risk aggregation completed: LOW risk (score: 0.444)
2025-08-23 18:28:41 | INFO | main | ✅ Risk Engine ready
